Name	X	Y	Source	Mg	Al	Si	P	S	Cl	K	Ca	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Sr	Ba	Pb	Hg	Tl	Rb	Ga	Zr	Bi	Na	W	Nd	Pr	Sc	V	Au	Se	Ge	sluda	smektit	hlorit	kaolinit	ceolit	kvarc	kps	plagioklaz	rogovaa_obmanka	gips
D17	42,490598	43,224366	Mix		0,26	418,8				0,19	0,4	0,2		0,1	0,8				0,1		0,2	0,15	0,4	0,04															3		0,5			76	3	18		
D18	42,490473	43,224143	Mix	0,47	7,48	418,7				9,17	0,35	0,12		1,03	1,52			0,1	0,2		0,3	1,35																	9		3			61	9	16		
D19	42,490479	43,223886	Mix	0,68	2,6	455,7				3,47	0,14	0,59		1,11	8,29				0,2		0,1	2,04																	8		1			67	9	13		
D2	42,493019	43,223862	Mix	1,93	5,96	412,3			0,7	7,67	0,7	1,05	0,1	1,6	6,45				0,4		0,4	1,02																	10	1	4	1		55	7	22		
D20	42,490423	43,223752	Mix		1,21	417,85				1,06	0,39	0,4		0,1	0,34			0,4	0,2		0,3	0,5							0,12							0,05			8		2			62	11	17		
D21	42,490168	43,223439	Mix			449,4				0,64	0,07	0,2			0,37	0,2	0,1		0,2		0,3	0,3						0,06											13	1	4			58	9	14		
D22	42,490214	43,223211	Mix		5,72	417,8				1,28	3,43	0,2	0,5	0,3	0,34		0,3	0,1	0,15		0,3	0,36																	10		1			54	14	21		
D23	42,490208	43,222867	Mix		5,34	428,3				11,42	0,2	1,1		0,4	2,47	0,3			0,2		0,3	2,04					0,203	0,15											8	2	2			61	7	20		
D24	42,49028	43,222518	Mix	0,52	1,37	406,5				0,95	0,15	1,2		0,8	2,28	0,6			0,2	0,01	0,4	0,9	0,9																13	1	3			51	7	24		
D25	42,490421	43,222086	Mix		2,73	408,3			3,4	2,97	0,26	1,7	0,2	0,5	1,57		0,1	0,2	0,5		0,2	2,5																	5	1	2			59	15	17		
D26	42,490073	43,22185	Mix		6,93	425,8				2,48	0,8	3,9		3,2	2,26				0,5		0,3	1,4																	4		2			56	6	32		
D27	42,489968	43,221494	Mix		3,56	447,7				2,68	0,79	0,4	0,3	0,3	1,13			0,1	0,2		0,3	0,3	0,6													0,3			9	1	1			62	7	18		
D28	42,489991	43,22139	Mix		5,09	424,8				7,45	2,57	0,72		0,8	3,19				0,4		0,4	1,7							0,11										15	1	2			50	13	19		
D29	42,489663	43,224527	Mix		5,03	427,3	0,9			3,68	2,9	0,81		2,1	12,35				1,2		0,3	0,6																	9		2			59	13	17		
D3	42,492885	43,223124	Mix	0,63	2,95	144,2		1,6		0,54	0,15	0,32		2,4	33,93				4,4		1,2	1,1				0,9													8	1	1			62	9	18		
D30	42,489337	43,223858	Mix	1,59	6,42	415,03				5,62	1,17	1,06	0,3	2,3	7,05				0,5		0,1	0,7				0,6													6		1			71	8	14		
D31	42,488913	43,223143	Mix		1,99	415,1		1,4		3,3	0,29	1,1		0,2	1,4	0,3			0,6		0,4	0,8									0,7								7		3			55	6	29		
D32	42,488799	43,222403	Mix	0,38	4,42	414,3				2,7	0,17	0,2	0,13	1,02	3,32				0,5	0,06	0,2	0,3	0,3			0,45		0,12											10	0,5	3			54	8	24		
D33	42,488987	43,221767	Mix	0,12	3,95	416,2				2,62	0,12	0,11	0,3	1,72	4,12				0,2		0,3	3,05					0,15												12	0,5	3			55	12	17		
D34	42,48955	43,222592	Mix	0,15	3,81	398,9				9,37	0,8	1,42	0,3	0,2	1,28		0,1	0,1	0,2		0,2	0,6				0,6									0,5				9		2			55	13	21		
D4	42,49259	43,222206	Mix	0,25	1,04	317,1		0,103	0,076	1,04	0,17	0,11		0,1	2,36			0,15	0,22	0,01	0,3	0,6	0,4	0,08			0,06										0,11		10	0,5	2			63	8	17		
D5	42,491608	43,221515	Mix	0,25	5,55	423,2		0,13	0,14	7,17	0,39	1,68		0,3	1,8		0,2	0,107	0,2			1,2	0,6	0,07				0,14	0,08										10		2			60	10	18		
D6	42,492139	43,224357	Mix	0,41	6,87	377,6		0,6	0,2	8,59	1,26	0,22	0,1	0,4	2,97	0,3		0,2	0,3		0,5	0,4	0,11																9	1	2			61	13	14		
D7	42,491628	43,224062	Mix	0,38		473,2				2,48	0,41	0,6		0,17	4,44	0,4	0,12	0,2	0,7		0,4	0,7																	9	2	1			68	9	11		
D8	42,491681	43,223904	Mix	1,04	6,73	351,3				7,43	0,78	0,6		0,6	2,87	0,3	0,1	0,055	0,3		0,3	1,7	0,9	0,1															8	0,5	3			56	10	22		
D9	42,491481	43,223615	Mix	0,31	2,3	459,2				2,88	0,47	0,3		0,5	2,07				0,2		0,3	0,5	0,4	0,9					0,7										4	1	1			70	7	16		
NS1	42,493332	43,225065	LS	0,69	7,49	173,5		1,3		3,55	0,74	1,55	0,3	1,7	9,06				0,9		0,9	1,5	0,39																11		8	1		55	9	15		
NS2	42,491752	43,224445	LS	0,33	4,71	114,2	1,1	0,32	0,18	2,64	0,72	0,66	0,2	1,7	6,35			0,2	0,9	0,1	0,6	0,7	0,27						0,32										8		4			66	1	20		
